instance_id,repo,prior_instance_id,target_instance_id,prior_gold_files,target_gold_files,prior_gold_file_count,target_gold_file_count,prior_gold_target_gold_file_intersection,prior_gold_target_gold_file_intersection_count,prior_gold_target_gold_jaccard,prior_gold_target_gold_same_file_bool,prior_gold_target_gold_same_dir_bool,prior_trajectory_inspected_files,prior_trajectory_edited_files,prior_trajectory_test_files,prior_trajectory_source_files,prior_inspected_target_gold_intersection,prior_inspected_target_gold_intersection_count,prior_inspected_target_gold_jaccard,prior_inspected_target_gold_same_file_bool,prior_inspected_target_gold_same_dir_bool,prior_edited_target_gold_intersection,prior_edited_target_gold_intersection_count,prior_edited_target_gold_jaccard,prior_edited_target_gold_same_file_bool,prior_edited_target_gold_same_dir_bool,raw_resolved,adp_resolved,memory_resolved,no_memory_resolved,overlap_bucket,localization_bucket
astropy__astropy-15082,astropy/astropy,astropy__astropy-14995,astropy__astropy-15082,,,,,,,,,,astropy/nddata;astropy/nddata/__init__.py;astropy/nddata/mixins/ndarithmetic.py;astropy/nddata/mixins/tests/test_ndarithmetic.py;astropy/nddata/nddata_withmixins.py,astropy/nddata/mixins/ndarithmetic.py;test_bug.py;test_fix.py,astropy/nddata/mixins/tests/test_ndarithmetic.py;test_bug.py;test_fix.py,astropy/nddata;astropy/nddata/__init__.py;astropy/nddata/mixins/ndarithmetic.py;astropy/nddata/nddata_withmixins.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
astropy__astropy-4973,astropy/astropy,astropy__astropy-7746,astropy__astropy-4973,,,,,,,,,,astropy/wcs/wcs.py,astropy/wcs/wcs.py;test_empty_arrays.py;test_logic.py,test_empty_arrays.py;test_logic.py,astropy/wcs/wcs.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-11776,django/django,django__django-14608,django__django-11776,,,,,,,,,,django/forms/forms.py;django/forms/formsets.py;tests/forms_tests/tests/test_formsets.py,django/forms/formsets.py;test_nonform_css.py,test_nonform_css.py;tests/forms_tests/tests/test_formsets.py,django/forms/forms.py;django/forms/formsets.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-18166,django/django,django__django-16041,django__django-18166,,,,,,,,,,django/forms/formsets.py,django/forms/formsets.py;test_comprehensive.py,test_comprehensive.py,django/forms/formsets.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-1891,django/django,django__django-13315,django__django-1891,,,,,,,,,,django;django/db/models/query.py;django/forms/models.py;tests;tests/model_forms/models.py;tests/model_forms/tests.py,django/forms/models.py;tests/model_forms/models.py;tests/model_forms/tests.py,,django;django/db/models/query.py;django/forms/models.py;tests;tests/model_forms/models.py;tests/model_forms/tests.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-20098,django/django,django__django-11630,django__django-20098,,,,,,,,,,django/core/checks/model_checks.py;tests/check_framework/test_model_checks.py,django/core/checks/model_checks.py;simple_test.py;test_db_table_collision.py;test_issue_fix.py;tests/check_framework/test_model_checks.py,simple_test.py;test_db_table_collision.py;test_issue_fix.py;tests/check_framework/test_model_checks.py,django/core/checks/model_checks.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-21204,django/django,django__django-16910,django__django-21204,,,,,,,,,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,django/db/models/sql/query.py,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-21501,django/django,django__django-16041,django__django-21501,,,,,,,,,,django/forms/formsets.py,django/forms/formsets.py;test_comprehensive.py,test_comprehensive.py,django/forms/formsets.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-25916,django/django,django__django-16255,django__django-25916,,,,,,,,,,django/contrib/sitemaps/__init__.py;tests/sitemaps_tests/test_http.py,django/contrib/sitemaps/__init__.py,tests/sitemaps_tests/test_http.py,django/contrib/sitemaps/__init__.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-26486,django/django,django__django-16910,django__django-26486,,,,,,,,,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,django/db/models/sql/query.py,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-27910,django/django,django__django-11742,django__django-27910,,,,,,,,,,django/db/models/fields;django/db/models/fields/__init__.py;testbed,django/db/models/fields/__init__.py,,django/db/models/fields;django/db/models/fields/__init__.py;testbed,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-27995,django/django,django__django-12908,django__django-27995,,,,,,,,,,django/db/models;django/db/models/query.py;tests/queries/test_qs_combinators.py,django/db/models/query.py;test_distinct_union.py;tests/queries/test_qs_combinators.py;verify_fix.py,test_distinct_union.py;tests/queries/test_qs_combinators.py,django/db/models;django/db/models/query.py;verify_fix.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-28211,django/django,django__django-14016,django__django-28211,,,,,,,,,,django/db/models/query_utils.py;django/utils/tree.py;tests/queries/test_q.py,django/utils/tree.py;test_dict_keys_fix.py,test_dict_keys_fix.py;tests/queries/test_q.py,django/db/models/query_utils.py;django/utils/tree.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-28862,django/django,django__django-12708,django__django-28862,,,,,,,,,,django/db/backends/base/schema.py,django/db/backends/base/schema.py;test_migration_scenario.py;test_reverse_scenario.py,test_migration_scenario.py;test_reverse_scenario.py,django/db/backends/base/schema.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-28916,django/django,django__django-12708,django__django-28916,,,,,,,,,,django/db/backends/base/schema.py,django/db/backends/base/schema.py;test_migration_scenario.py;test_reverse_scenario.py,test_migration_scenario.py;test_reverse_scenario.py,django/db/backends/base/schema.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-29123,django/django,django__django-12708,django__django-29123,,,,,,,,,,django/db/backends/base/schema.py,django/db/backends/base/schema.py;test_migration_scenario.py;test_reverse_scenario.py,test_migration_scenario.py;test_reverse_scenario.py,django/db/backends/base/schema.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-29124,django/django,django__django-12708,django__django-29124,,,,,,,,,,django/db/backends/base/schema.py,django/db/backends/base/schema.py;test_migration_scenario.py;test_reverse_scenario.py,test_migration_scenario.py;test_reverse_scenario.py,django/db/backends/base/schema.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-29838,django/django,django__django-13220,django__django-29838,,,,,,,,,,django/core/exceptions.py;tests/test_exceptions/test_validation_error.py,django/core/exceptions.py;tests/test_exceptions/test_validation_error.py,tests/test_exceptions/test_validation_error.py,django/core/exceptions.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-30153,django/django,django__django-11019,django__django-30153,,,,,,,,,,django/forms/widgets.py;tests/forms_tests/tests/test_media.py,analyze_merge.py;django/forms/widgets.py;test_combine.py,test_combine.py;tests/forms_tests/tests/test_media.py,analyze_merge.py;django/forms/widgets.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-30254,django/django,django__django-11999,django__django-30254,,,,,,,,,,django/db/models;django/db/models/base.py;django/db/models/fields/__init__.py;tests/model_fields;tests/model_fields/tests.py,django/db/models/fields/__init__.py;test_comprehensive.py,test_comprehensive.py,django/db/models;django/db/models/base.py;django/db/models/fields/__init__.py;tests/model_fields;tests/model_fields/tests.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-30651,django/django,django__django-13220,django__django-30651,,,,,,,,,,django/core/exceptions.py;tests/test_exceptions/test_validation_error.py,django/core/exceptions.py;tests/test_exceptions/test_validation_error.py,tests/test_exceptions/test_validation_error.py,django/core/exceptions.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
