instance_id,repo,prior_instance_id,target_instance_id,base_commit,condition_set_complete,resolved_no_memory,resolved_raw,resolved_adp,resolved_memory,eval_status_no_memory,eval_status_raw,eval_status_adp,eval_status_memory,eval_error_no_memory,eval_error_raw,eval_error_adp,eval_error_memory,empty_patch_no_memory,empty_patch_raw,empty_patch_adp,empty_patch_memory,non_empty_patch_no_memory,non_empty_patch_raw,non_empty_patch_adp,non_empty_patch_memory,patch_failed_no_memory,patch_failed_raw,patch_failed_adp,patch_failed_memory,no_patch_eval_no_memory,no_patch_eval_raw,no_patch_eval_adp,no_patch_eval_memory,patch_bytes_no_memory,patch_bytes_raw,patch_bytes_adp,patch_bytes_memory,patch_lines_added_no_memory,patch_lines_added_raw,patch_lines_added_adp,patch_lines_added_memory,patch_lines_deleted_no_memory,patch_lines_deleted_raw,patch_lines_deleted_adp,patch_lines_deleted_memory,patch_files_changed_no_memory,patch_files_changed_raw,patch_files_changed_adp,patch_files_changed_memory,run_exit_code_no_memory,run_exit_code_raw,run_exit_code_adp,run_exit_code_memory,run_status_no_memory,run_status_raw,run_status_adp,run_status_memory,openhands_iterations_no_memory,openhands_iterations_raw,openhands_iterations_adp,openhands_iterations_memory,llm_calls_no_memory,llm_calls_raw,llm_calls_adp,llm_calls_memory,input_tokens_no_memory,input_tokens_raw,input_tokens_adp,input_tokens_memory,output_tokens_no_memory,output_tokens_raw,output_tokens_adp,output_tokens_memory,total_tokens_no_memory,total_tokens_raw,total_tokens_adp,total_tokens_memory,max_turn_tokens_no_memory,max_turn_tokens_raw,max_turn_tokens_adp,max_turn_tokens_memory,wall_seconds_no_memory,wall_seconds_raw,wall_seconds_adp,wall_seconds_memory,prompt_chars_no_memory,prompt_chars_raw,prompt_chars_adp,prompt_chars_memory,prior_context_chars_no_memory,prior_context_chars_raw,prior_context_chars_adp,prior_context_chars_memory,empty_patch_cause_no_memory,empty_patch_cause_raw,empty_patch_cause_adp,empty_patch_cause_memory,notes
astropy__astropy-15082,astropy/astropy,astropy__astropy-14995,astropy__astropy-15082,c5e2521db013d9641999be9c79d1d807741bc39a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,27043,32367,21055,0,23057,28372,17060,,,,,evaluator outputs not found for this target
astropy__astropy-4973,astropy/astropy,astropy__astropy-7746,astropy__astropy-4973,d5bd3f68bb6d5ce3a61bdce9883ee750d1afade5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3662,19497,23500,16507,0,15799,19793,12800,,,,,evaluator outputs not found for this target
django__django-11776,django/django,django__django-14608,django__django-11776,9cbf7f25efa6ba3c4419b46fa11977e8b967aa26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,23836,29743,18631,0,21827,27725,16613,,,,,evaluator outputs not found for this target
django__django-18166,django/django,django__django-16041,django__django-18166,19e67c6cd13d6442abb2a6eba1b7fba80dcf5457,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101,16582,20881,14709,0,13445,17735,11563,,,,,evaluator outputs not found for this target
django__django-1891,django/django,django__django-13315,django__django-1891,36bc47069ce071e80c8129500de3b8664d2058a7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401,34524,42890,24446,0,32087,40444,22000,,,,,evaluator outputs not found for this target
django__django-20098,django/django,django__django-11630,django__django-20098,e626a3f993fc0581a3e0770a3930ac1fc20196cb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732,25010,31396,20408,0,23242,29619,18631,,,,,evaluator outputs not found for this target
django__django-21204,django/django,django__django-16910,django__django-21204,5d12650ed9269acb3cba97fd70e8df2e35a55a54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2609,19070,26071,16675,0,16425,23417,14021,,,,,evaluator outputs not found for this target
django__django-21501,django/django,django__django-16041,django__django-21501,19e67c6cd13d6442abb2a6eba1b7fba80dcf5457,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712,16193,20492,14320,0,13445,17735,11563,,,,,evaluator outputs not found for this target
django__django-25916,django/django,django__django-16255,django__django-25916,2ccc0b22db6730ba0950b10bbc5238ae575e4a45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,15496,19962,13207,0,13995,18452,11697,,,,,evaluator outputs not found for this target
django__django-26486,django/django,django__django-16910,django__django-26486,c339a5a6f72690cd90d5a653dc108fbb60274a20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622,18083,25084,15688,0,16425,23417,14021,,,,,evaluator outputs not found for this target
django__django-27910,django/django,django__django-11742,django__django-27910,25706d728536fea88e12f62856de7c4b569ae282,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638,34354,42186,23725,0,31680,39503,21042,,,,,evaluator outputs not found for this target
django__django-27995,django/django,django__django-12908,django__django-27995,f13147c8de725eed7038941758469aeb9bd66503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737,28574,36383,21362,0,26801,34601,19580,,,,,evaluator outputs not found for this target
django__django-28211,django/django,django__django-14016,django__django-28211,67e1afb4a8478af6725e45a9fdcd2a511b2eb005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,24847,30715,21689,0,22604,28463,19437,,,,,evaluator outputs not found for this target
django__django-28862,django/django,django__django-12708,django__django-28862,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,22954,28854,18885,0,21184,27075,17106,,,,,evaluator outputs not found for this target
django__django-28916,django/django,django__django-12708,django__django-28916,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,23698,29598,19629,0,21184,27075,17106,,,,,evaluator outputs not found for this target
django__django-29123,django/django,django__django-12708,django__django-29123,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3418,24638,30538,20569,0,21184,27075,17106,,,,,evaluator outputs not found for this target
django__django-29124,django/django,django__django-12708,django__django-29124,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3863,25083,30983,21014,0,21184,27075,17106,,,,,evaluator outputs not found for this target
django__django-29838,django/django,django__django-13220,django__django-29838,6752c2756eb9be28a37021d664b805ec169369d6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,25842,31762,20322,0,23792,29703,18263,,,,,evaluator outputs not found for this target
django__django-30153,django/django,django__django-11019,django__django-30153,1933e56eca1ad17de7dd133bfb7cbee9858a75a3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,40908,49978,27907,0,39253,48314,26243,,,,,evaluator outputs not found for this target
django__django-30254,django/django,django__django-11999,django__django-30254,f976ab1b117574db78d884c94e549a6b8e4c9f9b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2292,20014,26575,18476,0,17686,24238,16139,,,,,evaluator outputs not found for this target
django__django-30651,django/django,django__django-13220,django__django-30651,67e7dffe9543aff259f63c8f12d15642fe7be100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2263,26091,32011,20571,0,23792,29703,18263,,,,,evaluator outputs not found for this target
django__django-30931,django/django,django__django-12284,django__django-30931,84633905273fc916e3d17883810d9969c03f73c2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816,24521,31824,22075,0,22669,29963,20214,,,,,evaluator outputs not found for this target
django__django-31051,django/django,django__django-12453,django__django-31051,590957a0eb9a87a6f2bd3463226b0a7f1405d817,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695,28231,35711,24297,0,22500,29971,18557,,,,,evaluator outputs not found for this target
django__django-31181,django/django,django__django-14855,django__django-31181,855fc06236630464055b4f9ea422c68a07c6d02a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,38272,48391,21098,0,36411,46521,19228,,,,,evaluator outputs not found for this target
django__django-31864,django/django,django__django-13321,django__django-31864,6e9c5ee88fc948e05b4a7d9f82a8861ed2b0343d,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714,18616,19399,15342,0,16866,17640,13583,,,,,evaluator outputs not found for this target
django__django-32260,django/django,django__django-14787,django__django-32260,4a80d0f22021bb0af842f038eba45958e9576bec,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516,17258,22556,15213,0,14706,19995,12652,,,,,evaluator outputs not found for this target
django__django-32450,django/django,django__django-14017,django__django-32450,1710cdbe79c90665046034fe1700933d038d90ad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,34648,42776,25013,0,32699,40818,23055,,,,,evaluator outputs not found for this target
django__django-33461,django/django,django__django-15388,django__django-33461,3a9b8b25d48c5768633e73edc5ddca20c3fd716c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7117,40118,48478,25654,0,32965,41316,18492,,,,,evaluator outputs not found for this target
django__django-33871,django/django,django__django-16229,django__django-33871,04b15022e8d1f49af69d8a1e6cd678f31f1280ff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066,71303,86900,25342,0,69201,84789,23231,,,,,evaluator outputs not found for this target
django__django-34176,django/django,django__django-12589,django__django-34176,016bead6a23989adec5c7ee6948db7ce2fc5e89b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007,55194,66611,24662,0,51151,62559,20610,,,,,evaluator outputs not found for this target
django__django-34481,django/django,django__django-16816,django__django-34481,83c9765f45e4622e4a5af3adcd92263a28b13624,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9965,41707,48039,28380,0,31706,38029,18370,,,,,evaluator outputs not found for this target
django__django-34525,django/django,django__django-16820,django__django-34525,c61219a7ae051d2baab53f041e00592011fc550c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036,51776,67045,21950,0,49704,64964,19869,,,,,evaluator outputs not found for this target
django__django-34570,django/django,django__django-16910,django__django-34570,0ec60661e61b153e6bcec64649b1b7f524eb3e18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6955,23416,30417,21021,0,16425,23417,14021,,,,,evaluator outputs not found for this target
django__django-35356,django/django,django__django-16910,django__django-35356,53719d6b5b745dd99b1ab9315afb242f706ebbf1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882,19343,26344,16948,0,16425,23417,14021,,,,,evaluator outputs not found for this target
matplotlib__matplotlib-10050,matplotlib/matplotlib,matplotlib__matplotlib-23913,matplotlib__matplotlib-10050,c098519cea2d61d2206f6c4dacf81673afa255c1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073,22923,28525,16447,0,20814,26407,14329,,,,,evaluator outputs not found for this target
matplotlib__matplotlib-18294,matplotlib/matplotlib,matplotlib__matplotlib-24149,matplotlib__matplotlib-18294,e8101f17d8a7d2d7eccff7452162c02a27980800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720,27499,30617,25726,0,17743,20852,15961,,,,,evaluator outputs not found for this target
matplotlib__matplotlib-22482,matplotlib/matplotlib,matplotlib__matplotlib-25332,matplotlib__matplotlib-22482,d347c3227f8de8a99aa327390fee619310452a96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311,28395,35971,23882,0,25048,32615,20526,,,,,evaluator outputs not found for this target
