instance_id,condition,resolved,non_empty_patch,empty_patch,run_status,wall_seconds,llm_calls,iterations,input_tokens,output_tokens,total_tokens,max_turn_tokens,num_bash_commands,num_grep_commands,num_find_commands,num_rg_commands,num_pytest_commands,num_test_commands,num_file_reads,num_file_writes,num_file_edits,num_apply_patch_attempts,num_git_diff_commands,num_git_status_commands,first_file_read,first_file_edited,all_files_read,all_files_edited,all_commands_run,mentions_prior_context_bool,mentions_prior_file_paths_bool,mentions_prior_failure_signature_bool,ran_tests_bool,tests_passed_observed_bool,tests_failed_observed_bool,last_test_failure_signature,last_runtime_error_signature,timeout_bool,tool_error_count,model_empty_message_count,security_risk_unknown_count
astropy__astropy-15082,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-15082,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-15082,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-15082,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-4973,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-4973,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-4973,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-4973,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-11776,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-11776,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-11776,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-11776,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-18166,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-18166,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-18166,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-18166,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-1891,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-1891,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-1891,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-1891,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-20098,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-20098,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-20098,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-20098,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21204,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21204,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21204,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21204,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21501,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21501,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21501,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-21501,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-25916,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-25916,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-25916,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-25916,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-26486,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-26486,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-26486,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-26486,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27910,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27910,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27910,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27910,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27995,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27995,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27995,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-27995,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28211,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28211,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28211,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28211,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28862,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28862,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28862,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28862,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28916,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28916,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28916,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-28916,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29123,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29123,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29123,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29123,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29124,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29124,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29124,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29124,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29838,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29838,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29838,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-29838,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30153,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30153,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30153,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30153,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30254,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30254,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30254,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30254,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30651,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30651,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30651,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30651,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30931,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30931,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-30931,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
