instance_id,eval_status_no_memory,eval_status_raw,eval_status_adp,eval_status_memory,eval_error_no_memory,eval_error_raw,eval_error_adp,eval_error_memory
astropy__astropy-15082,unresolved,resolved,no_patch,no_patch,,,No patch,No patch
astropy__astropy-4973,unresolved,unresolved,unresolved,unresolved,,,,
django__django-11776,patch_failed,patch_failed,patch_failed,no_patch,Patch failed,Patch failed,Patch failed,No patch
django__django-18166,unresolved,unresolved,unresolved,unresolved,,,,
django__django-1891,unresolved,resolved,unresolved,unresolved,,,,
django__django-20098,unresolved,resolved,no_patch,resolved,,,No patch,
django__django-21204,unresolved,no_patch,unresolved,no_patch,,No patch,,No patch
django__django-21501,unresolved,unresolved,unresolved,unresolved,,,,
django__django-25916,unresolved,no_patch,no_patch,patch_failed,,No patch,No patch,Patch failed
django__django-26486,patch_failed,unresolved,unresolved,unresolved,Patch failed,,,
django__django-27910,unresolved,unresolved,unresolved,unresolved,,,,
django__django-27995,unresolved,unresolved,unresolved,unresolved,,,,
django__django-28211,unresolved,unresolved,resolved,resolved,,,,
django__django-28862,no_patch,unresolved,patch_failed,unresolved,No patch,,Patch failed,
django__django-28916,no_patch,patch_failed,unresolved,unresolved,No patch,Patch failed,,
django__django-29123,no_patch,no_patch,unresolved,unresolved,No patch,No patch,,
django__django-29124,unresolved,unresolved,unresolved,patch_failed,,,,Patch failed
django__django-29838,unresolved,unresolved,unresolved,unresolved,,,,
django__django-30153,no_patch,unresolved,unresolved,unresolved,No patch,,,
django__django-30254,no_patch,resolved,resolved,unresolved,No patch,,,
django__django-30651,unresolved,unresolved,unresolved,unresolved,,,,
django__django-30931,no_patch,resolved,unresolved,unresolved,No patch,,,
django__django-31051,unresolved,unresolved,unresolved,unresolved,,,,
django__django-31181,patch_failed,patch_failed,unresolved,resolved,Patch failed,Patch failed,,
django__django-31864,no_patch,no_patch,no_patch,no_patch,No patch,No patch,No patch,No patch
django__django-32260,patch_failed,unresolved,unresolved,unresolved,Patch failed,,,
django__django-32450,resolved,resolved,resolved,resolved,,,,
django__django-33461,resolved,resolved,resolved,unresolved,,,,
django__django-33871,no_patch,unresolved,no_patch,resolved,No patch,,No patch,
django__django-34176,no_patch,no_patch,no_patch,unresolved,No patch,No patch,No patch,
django__django-34481,unresolved,unresolved,unresolved,unresolved,,,,
django__django-34525,no_patch,unresolved,unresolved,unresolved,No patch,,,
django__django-34570,no_patch,no_patch,no_patch,resolved,No patch,No patch,No patch,
django__django-35356,no_patch,unresolved,unresolved,no_patch,No patch,,,No patch
matplotlib__matplotlib-10050,resolved,resolved,resolved,resolved,,,,
matplotlib__matplotlib-18294,unresolved,unresolved,unresolved,unresolved,,,,
matplotlib__matplotlib-22482,resolved,patch_failed,patch_failed,patch_failed,,Patch failed,Patch failed,Patch failed
matplotlib__matplotlib-22686,resolved,resolved,resolved,resolved,,,,
matplotlib__matplotlib-22706,resolved,resolved,resolved,resolved,,,,
matplotlib__matplotlib-23098,no_patch,unresolved,unresolved,no_patch,No patch,,,No patch
matplotlib__matplotlib-23172,unresolved,unresolved,unresolved,unresolved,,,,
matplotlib__matplotlib-23687,unresolved,unresolved,no_patch,unresolved,,,No patch,
matplotlib__matplotlib-24818,unresolved,unresolved,unresolved,unresolved,,,,
matplotlib__matplotlib-25352,no_patch,resolved,patch_failed,no_patch,No patch,,Patch failed,No patch
matplotlib__matplotlib-26331,no_patch,resolved,unresolved,no_patch,No patch,,,No patch
matplotlib__matplotlib-27361,unresolved,no_patch,resolved,resolved,,No patch,,
mwaskom__seaborn-3091,no_patch,resolved,resolved,resolved,No patch,,,
mwaskom__seaborn-3203,unresolved,unresolved,patch_failed,unresolved,,,Patch failed,
pallets__flask-4039,unresolved,unresolved,unresolved,unresolved,,,,
psf__requests-2344,no_patch,unresolved,unresolved,unresolved,No patch,,,
