instance_id,condition,prior_failure_signature_excerpt,run_failure_signature_excerpt,target_failure_signature_excerpt,reused_prior_failure_signature_bool,reproduced_target_failure_bool,resolved,supporting_run_artifact
astropy__astropy-15082,no_memory,,"12 from astropy.utils.exceptions import AstropyUserWarning | 68 was given otherwise it raises a ``ValueError`` if the comparison was | 221 ValueError | 236 raise ValueError(""WCS are not equal."") | 377 raise TypeError(|except Exception as e: | print(f'ERROR: {type(e).__name__}: {e}') | Traceback (most recent call last): | raise ImportError( | ImportError: You appear to be trying to import astropy from within a source checkout or from an editable installation without building the extension modules first. Either run|error: subprocess-exited-with-error | ERROR: setuptools==49.6.0 is used in combination with setuptools-scm>=8.x|error: subprocess-exited-with-error|error: subprocess-exited-with-error | Traceback (most recent call last): | ModuleNotFoundError: No module named 'setuptools.dep_util' | error: subprocess-exited-with-error|Traceback (most recent call last): | raise ImportError( | ImportError: You appear to be trying to import astropy from within a source checkout or from an editable installation without building the extension modules first. Either run|ERROR: Could not install packages due to an OSError: [Errno 13] Permission denied: '/opt/conda/envs/testbed/bin/easy_install|ModuleNotFoundError: No module named 'setuptools.dep_util' | error: subprocess-exited-with-error|ERROR: Could not install packages due to an OSError: [Errno 13] Permission denied: '/opt/conda/envs/testbed/lib/python3.9/site-packages/astropy|145 except ImportError:","# raises: AttributeError: 'NoneType' object has no attribute 'mask'|I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l...|# raises: AttributeError: 'NoneType' object has no attribute 'unit'",0,0,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory
astropy__astropy-15082,raw,"TypeError: unsupported operand type(s) for|: 'int' and 'NoneType'|12→from astropy.utils.exceptions import AstropyUserWarning|SyntaxError: invalid syntax|10→ IncompatibleUncertaintiesException,|17→from astropy.utils.exceptions import AstropyUserWarning|No matches found|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)","docs/nitpick-exceptions|12 from astropy.utils.exceptions import AstropyUserWarning | 68 was given otherwise it raises a ``ValueError`` if the comparison was | 221 ValueError | 236 raise ValueError(""WCS are not equal."") | 377 raise TypeError(|433 raise TypeError( | 442 raise TypeError(|244 except KeyError: | 245 raise KeyError(f""Unknown prefix {splitted[0]} for parameter {i}"")|except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | Traceback (most recent call last): | raise ImportError( | ImportError: You appear to be trying to import astro...|error: subprocess-exited-with-error | ModuleNotFoundError: No module named 'setuptools.dep_util' | error: subprocess-exited-with-error|except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | Error: AttributeError: 'NoneType' object has no attribute 'mask' | Error: AttributeError: 'NoneType' object ha...|from astropy.utils.exceptions import AstropyUserWarning | was given otherwise it raises a ``ValueError`` if the comparison was | except KeyError: | raise KeyError(f""Unknown prefix {splitted[0]} for parameter {i}"") | raise TypeError( | raise TypeError( | ValueError | raise ValueError(""WCS are not equal."") | raise Typ...|except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | Error: AttributeError: 'NoneType' object ...|except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}') | except Exception as e: | print(f' Error: {type(e).__name__}: {e}')","# raises: AttributeError: 'NoneType' object has no attribute 'mask'|I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l...|# raises: AttributeError: 'NoneType' object has no attribute 'unit'",1,1,1,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw
astropy__astropy-15082,adp,"TypeError: unsupported operand type(s) for|: 'int' and 'NoneType'|TypeError: unsup|12→from astropy.utils.exceptions import AstropyUserWarning|SyntaxError: invalid syntax|10→ IncompatibleUncertaintiesException,|17→from astropy.utils.exceptions import AstropyUserWarning|No matches found|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)","docs/nitpick-exceptions|12 from astropy.utils.exceptions import AstropyUserWarning | 68 was given otherwise it raises a ``ValueError`` if the comparison was | 221 ValueError | 236 raise ValueError(""WCS are not equal."") | 377 raise TypeError(","# raises: AttributeError: 'NoneType' object has no attribute 'mask'|I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l...|# raises: AttributeError: 'NoneType' object has no attribute 'unit'",1,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp
astropy__astropy-15082,memory,"TypeError: unsupported operand type(s) for|: 'int' and 'NoneType'|12→from astropy.utils.exceptions import AstropyUserWarning|SyntaxError: invalid syntax|10→ IncompatibleUncertaintiesException,|17→from astropy.utils.exceptions import AstropyUserWarning|No matches found|1225→ with pytest.raises(KeyError)","docs/nitpick-exceptions|12 from astropy.utils.exceptions import AstropyUserWarning | 68 was given otherwise it raises a ``ValueError`` if the comparison was | 221 ValueError | 236 raise ValueError(""WCS are not equal."") | 377 raise TypeError(|except Exception as e: | print(f' ERROR: {type(e).__name__}: {e}') | except Exception as e: | print(f' ERROR: {type(e).__name__}: {e}') | except Exception as e: | print(f' ERROR: {type(e).__name__}: {e}') | Traceback (most recent call last): | raise ImportError( | ImportError: You appear to be trying to import astro...|Traceback (most recent call last): | raise ImportError( | ImportError: You appear to be trying to import astropy from within a source checkout or from an editable installation without building the extension modules first. Either run|except Exception as e: | print(f' ERROR: {type(e).__name__}: {e}') | except Exception as e: | print(f' ERROR: {type(e).__name__}: {e}') | except Exception as e: | print(f' ERROR: {type(e).__name__}: {e}') | ERROR: AttributeError: 'NoneType' object has no attribute 'mask' | ERROR: AttributeError: 'NoneType' object ha...","# raises: AttributeError: 'NoneType' object has no attribute 'mask'|I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l...|# raises: AttributeError: 'NoneType' object has no attribute 'unit'",1,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory
astropy__astropy-4973,no_memory,,"docs/nitpick-exceptions|51 except ImportError: | 58 from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | 76 raise ImportError( | 82 raise RuntimeError( | 146 raise ValueError( | 155 class NoConvergence(Exception): | 182 for which the solution failed to converge within the | 202 ""are ignored but wil...|3036: except InconsistentAxisTypesError: | 3045: except InconsistentAxisTypesError:|1200 raise ValueError( | 1217 except ValueError: | 1218 raise ValueError( | 1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|2158 raise ValueError(""No basic WCS settings were created."") | 2193 Memory allocation failed. | 2201 ValueError | 2204 ValueError | 2207 ValueError|except Exception as e: | print(f'Error: {type(e).__name__}: {e}') | Error: InconsistentAxisTypesError: ERROR 4 in wcss2p() at line 2882 of file cextern/wcslib/C/wcs.c|1217 except ValueError: | 1218 raise ValueError( | 1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|1217 except ValueError: | 1218 raise ValueError( | 1239 raise ValueError( | 1256 except Exception: | 1257 raise TypeError( | 1270 except Exception: | 1271 raise TypeError( | 1277 raise TypeError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | ra...|except Exception as e: | print(f'Error: {type(e).__name__}: {e}')|astropy/wcs/tests/test_wcsprm.py::test_wcs_sub_error_message FAILED [ 94%] | E + where <built-in method endswith of str object at 0x7f9b021c4ab0> = ""<ExceptionInfo TypeError('axes must None, a sequence or an integer') tblen=1>"".endswith | E + where ""<ExceptionInfo TypeError('axes must None, a sequence or an integer'...","Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error:|InconsistentAxisTypesError Traceback (most recent call last)|2158 raise ValueError(""No basic WCS settings were created."")|InconsistentAxisTypesError: ERROR 4 in wcss2p() at line 2876 of file cextern/wcslib/C/wcs.c",0,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-4973/no_memory
astropy__astropy-4973,raw,"InconsistentAxisTypesError Traceback (most recent call last)|1271 raise TypeError(|1351 raise ValueError(""No basic WCS settings were created."")|InconsistentAxisTypesError: ERROR 4 in wcsp2s() at line 2646 of file cextern/wcslib/C/wcs.c|1200→ raise ValueError(|1217→ except ValueError:|1218→ raise ValueError(|1235→ raise ValueError(|1217- except ValueError:|1218- raise ValueError(","docs/nitpick-exceptions|1217 except ValueError: | 1218 raise ValueError( | 1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|2146 Traceback (most recent call last): | 2148 NoConvergence: 'WCS.all_world2pix' failed to converge to the | 2158 raise ValueError(""No basic WCS settings were created."") | 2193 Memory allocation failed.|except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | Error: InconsistentAxisTypesError ERROR 4 in wcsp2s() at line 2647 of file cextern/wcslib/C/wcs.c: | Error: InconsistentAxisTypesError ERROR 4 in wcss2p() at line 28...|1217 except ValueError: | 1218 raise ValueError( | 1246 raise ValueError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | raise ImportError( | raise RuntimeError( | raise ValueError( | class NoConvergence(Exception): | for which the solution fail...|1217 except ValueError: | 1218 raise ValueError( | 1246 raise ValueError(|1246 raise ValueError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | raise ImportError( | raise RuntimeError( | raise ValueError( | class NoConvergence(Exception): | for which the solution failed to converge within the | ""are ignored but will r...|except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Except...|except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' Error:', type(e).__name__, str(e)[:100]) | Traceback (most recent call last): | NameError: name '__file__' is not defined|ERROR: usage: __main__.py [options] [file_or_dir] [file_or_dir] [...] | __main__.py: error: unrecognized arguments: --timeout=120","Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error:|InconsistentAxisTypesError Traceback (most recent call last)|2158 raise ValueError(""No basic WCS settings were created."")|InconsistentAxisTypesError: ERROR 4 in wcss2p() at line 2876 of file cextern/wcslib/C/wcs.c",1,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-4973/raw
astropy__astropy-4973,adp,"InconsistentAxisTypesError Traceback (most recent call last)|1271 raise TypeError(|1351 raise ValueError(""No basic WCS settings were created."")|1200→ raise ValueError(|1217→ except ValueError:|1218→ raise ValueError(|1235→ raise ValueError(|1217- except ValueError:|1218- raise ValueError(|1250→ except Exception:","docs/nitpick-exceptions|1200 raise ValueError( | 1217 except ValueError: | 1218 raise ValueError( | 1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|2146 Traceback (most recent call last): | 2148 NoConvergence: 'WCS.all_world2pix' failed to converge to the | 2158 raise ValueError(""No basic WCS settings were created."") | 2193 Memory allocation failed.|1217 except ValueError: | 1218 raise ValueError( | 1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|Rebuilding extension modules -Rebuilding extension modules /Rebuilding extension modules |Rebuilding extension modules /Rebuilding extension modules -Rebuilding extension modules /Rebuilding extension modules |Rebuilding extension modules /Rebuilding extension modules -Rebuilding extension modules /Rebuilding extens...|error: can't create or remove files in install directory|1217 except ValueError: | 1218 raise ValueError( | 1243 raise ValueError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | raise ImportError( | raise RuntimeError( | raise ValueError( | class NoConvergence(Exception): | for which the solution fail...|1243 raise ValueError( | 1258 except Exception: | 1259 raise TypeError(|1243 raise ValueError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | raise ImportError( | raise RuntimeError( | raise ValueError( | class NoConvergence(Exception): | for which the solution failed to converge within the | ""are ignored but will r...|1217 except ValueError: | 1218 raise ValueError( | 1243 raise ValueError( | 1261 except Exception: | 1262 raise TypeError( | 1275 except Exception: | 1276 raise TypeError( | 1282 raise TypeError(","Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error:|InconsistentAxisTypesError Traceback (most recent call last)|2158 raise ValueError(""No basic WCS settings were created."")|InconsistentAxisTypesError: ERROR 4 in wcss2p() at line 2876 of file cextern/wcslib/C/wcs.c",1,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-4973/adp
astropy__astropy-4973,memory,"InconsistentAxisTypesError Traceback (most recent call last)|1271 raise TypeError(|1351 raise ValueError(""No basic WCS settings were created."")|InconsistentAxisTypesError: ERROR 4 in wcsp2s() at line 2646 of file cextern/wcslib/C/wcs.c|- Traceback (most recent call last):|- ERROR: An error occurred while attempting to rebuild the extension modules. Please try manually running `./setup.py develop` or `./setup.py build_ext --inplace` to see what the issue was. Extension modules must be s...|- ImportError: cannot import name '_compiler' from 'astropy.utils' (./swebench_9_15/testbed/astropy/utils/__init__.py)|- ImportError: astropy|1200→ raise ValueError(|1217→ except ValueError:","docs/nitpick-exceptions|1200 raise ValueError( | 1217 except ValueError: | 1218 raise ValueError( | 1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|1235 raise ValueError( | 1250 except Exception: | 1251 raise TypeError( | 1264 except Exception: | 1265 raise TypeError( | 1271 raise TypeError(|2146 Traceback (most recent call last): | 2148 NoConvergence: 'WCS.all_world2pix' failed to converge to the | 2158 raise ValueError(""No basic WCS settings were created."") | 2193 Memory allocation failed.|1351 raise ValueError(""No basic WCS settings were created."") | 1382 Memory allocation failed. | 1390 ValueError | 1393 ValueError | 1396 ValueError|except Exception as e: | print('wcs_world2pix with (0,2) array failed:', type(e).__name__, str(e)[:100]) | except Exception as e: | print('wcs_pix2world with empty lists failed:', type(e).__name__, str(e)[:100]) | wcs_world2pix with (0,2) array failed: InconsistentAxisTypesError ERROR 4 in wcss2p() at line 2882 of f...|1235 raise ValueError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | raise ImportError( | raise RuntimeError( | raise ValueError( | class NoConvergence(Exception): | for which the solution failed to converge within the | ""are ignored but will r...|1217 except ValueError: | 1218 raise ValueError( | 1243 raise ValueError( | except ImportError: | from ..utils.exceptions import AstropyWarning, AstropyUserWarning, AstropyDeprecationWarning | raise ImportError( | raise RuntimeError( | raise ValueError( | class NoConvergence(Exception): | for which the solution fail...|except Exception as e: | print(' FAILED:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' FAILED:', type(e).__name__, str(e)[:100]) | except Exception as e: | print(' FAILED:', type(e).__name__, str(e)[:100])|1217 except ValueError: | 1218 raise ValueError( | 1243 raise ValueError(","Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error:|InconsistentAxisTypesError Traceback (most recent call last)|2158 raise ValueError(""No basic WCS settings were created."")|InconsistentAxisTypesError: ERROR 4 in wcss2p() at line 2876 of file cextern/wcslib/C/wcs.c",1,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-4973/memory
django__django-11776,no_memory,,"12 from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | 145 except KeyError: | 146 raise KeyError(|8 except ImportError: # Python 2 | 20 from django.core.exceptions import ValidationError | 143 except Exception|919205ef8 Refs #3397 -- Corrected the Exception that is caught when ordering by non-fields (added in [4596]), thanks glin@seznam.cz.|from django.core.exceptions import ValidationError | Traceback (most recent call last): | AttributeError: module 'html.parser' has no attribute 'HTMLParseError|E AttributeError: module 'html.parser' has no attribute 'HTMLParseError' | ERROR tests/forms_tests/tests/test_forms.py - AttributeError: module 'html.pa... | ERROR: not found: /testbed/tests/forms_tests/tests/test_forms.py::FormManualRenderTests::test_error_output|42 except AttributeError:|12 # HTMLParseError was removed in Python 3.5, use ValueError instead | 16 HTMLParseError = ValueError | # HTMLParseError was removed in Python 3.5, use ValueError instead | HTMLParseError = ValueError | except AttributeError: | except AttributeError|except ImportError: # Python 2 | from django.core.exceptions import ValidationError | except Exception: | except ImportError: # Python 2 | from django.core.exceptions import ValidationError | except Exception|12 from django.core.exceptions import ValidationError, NON_FIELD_ERRORS|12 from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | except KeyError: | raise KeyError( | raise TypeError( | raise ValueError( | except ValidationError: | from django.core.exceptions import ValidationError, NON_FIELD_ERRORS |...",,0,0,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-11776/no_memory
django__django-11776,raw,"356- raise ValueError(|1→from django.core.exceptions import ValidationError|Traceback (most recent call last):|TypeError: Error when calling the metaclass bases|AttributeError: 'NoneType' object has no attribute 'loader'|FormsetTests (unittest.loader._FailedTest) ... ERROR|ERROR: FormsetTests (unittest.loader._FailedTest)|AttributeError: module 'forms_tests.tests.test_formsets' has no attribute 'FormsetTests|FAILED (errors=1)|✗ Test 1 failed: Expected error_class='nonform', got 'errorlist nonform'","tests/middleware_exceptions/|12 from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | 145 except KeyError: | 146 raise KeyError(|8 except ImportError: # Python 2 | 20 from django.core.exceptions import ValidationError | 143 except Exception|320 raise TypeError( | 332 raise ValueError(|3 from django.core.exceptions import ValidationError | 159 except IndexError: | 196 raise AttributeError(""'%s' object has no attribute 'cleaned_data'"" % self.__class__.__name__)|9:from django.core.exceptions import NON_FIELD_ERRORS|except ImportError: # Python 2 | from django.core.exceptions import ValidationError | except Exception: | except ImportError: # Python 2 | from django.core.exceptions import ValidationError | except Exception|from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | except KeyError: | raise KeyError( | raise TypeError( | raise ValueError( | except ValidationError: | from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | except KeyError: | raise KeyError( | raise TypeError( | raise ValueError(...|332 raise ValueError(|332 raise ValueError( | from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | except KeyError: | raise KeyError( | raise TypeError( | raise ValueError( | except ValidationError: | from django.core.exceptions import ValidationError, NON_FIELD_ERRORS | except KeyError: | raise KeyError( | raise TypeEr...",,1,1,0,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-11776/raw
