instance_id,run_status_no_memory,run_status_raw,run_status_adp,run_status_memory,run_exit_code_no_memory,run_exit_code_raw,run_exit_code_adp,run_exit_code_memory
astropy__astropy-15082,success,success,success_empty_patch,success_empty_patch,0,0,0,0
astropy__astropy-4973,success,success,success,success,0,0,0,0
django__django-11776,success,success,success,success_empty_patch,0,0,0,0
django__django-18166,success,success,success,success,0,0,0,0
django__django-1891,success,success,success,success,0,0,0,0
django__django-20098,success,success,success_empty_patch,success,0,0,0,0
django__django-21204,success,success_empty_patch,success,success_empty_patch,0,0,0,0
django__django-21501,success,success,success,success,0,0,0,0
django__django-25916,success,success_empty_patch,success_empty_patch,success,0,0,0,0
django__django-26486,success,success,success,success,0,0,0,0
django__django-27910,success,success,success,success,0,0,0,0
django__django-27995,success,success,success,success,0,0,0,0
django__django-28211,success,success,success,success,0,0,0,0
django__django-28862,success_empty_patch,success,success,success,0,0,0,0
django__django-28916,success_empty_patch,success,success,success,0,0,0,0
django__django-29123,success_empty_patch,success_empty_patch,success,success,0,0,0,0
django__django-29124,success,success,success,success,0,0,0,0
django__django-29838,success,success,success,success,0,0,0,0
django__django-30153,success_empty_patch,success,success,success,0,0,0,0
django__django-30254,success_empty_patch,success,success,success,0,0,0,0
django__django-30651,success,success,success,success,0,0,0,0
django__django-30931,success_empty_patch,success,success,success,0,0,0,0
django__django-31051,success,success,success,success,0,0,0,0
django__django-31181,success,success,success,success,0,0,0,0
django__django-31864,success_empty_patch,success_empty_patch,success_empty_patch,success_empty_patch,0,0,0,0
django__django-32260,success,success,success,success,0,0,0,0
django__django-32450,success,success,success,success,0,0,0,0
django__django-33461,success,success,success,success,0,0,0,0
django__django-33871,success_empty_patch,success,success_empty_patch,success,0,0,0,0
django__django-34176,success_empty_patch,success_empty_patch,success_empty_patch,success,0,0,0,0
django__django-34481,success,success,success,success,0,0,0,0
django__django-34525,success_empty_patch,success,success,success,0,0,0,0
django__django-34570,success_empty_patch,success_empty_patch,success_empty_patch,success,0,0,0,0
django__django-35356,success_empty_patch,success,success,success_empty_patch,0,0,0,0
matplotlib__matplotlib-10050,success,success,success,success,0,0,0,0
matplotlib__matplotlib-18294,success,success,success,success,0,0,0,0
matplotlib__matplotlib-22482,success,success,success,success,0,0,0,0
matplotlib__matplotlib-22686,success,success,success,success,0,0,0,0
matplotlib__matplotlib-22706,success,success,success,success,0,0,0,0
matplotlib__matplotlib-23098,success_empty_patch,success,success,success_empty_patch,0,0,0,0
matplotlib__matplotlib-23172,success,success,success,success,0,0,0,0
matplotlib__matplotlib-23687,success,success,success_empty_patch,success,0,0,0,0
matplotlib__matplotlib-24818,success,success,success,success,0,0,0,0
matplotlib__matplotlib-25352,success_empty_patch,success,success,success_empty_patch,0,0,0,0
matplotlib__matplotlib-26331,success_empty_patch,success,success,success_empty_patch,0,0,0,0
matplotlib__matplotlib-27361,success,success_empty_patch,success,success,0,0,0,0
mwaskom__seaborn-3091,success_empty_patch,success,success,success,0,0,0,0
mwaskom__seaborn-3203,success,success,success,success,0,0,0,0
pallets__flask-4039,success,success,success,success,0,0,0,0
psf__requests-2344,success_empty_patch,success,success,success,0,0,0,0
psf__requests-3359,success,success,success,success,0,0,0,0
psf__requests-3481,success_empty_patch,success,success,success,0,0,0,0
pydata__xarray-4529,success,success,success,success,0,0,0,0
pydata__xarray-508,success,success,success,success,0,0,0,0
pylint-dev__pylint-6471,success_empty_patch,success,success,success,0,0,0,0
pytest-dev__pytest-10341,success_empty_patch,success,success,success,0,0,0,0
pytest-dev__pytest-9358,success_empty_patch,success,success,success,0,0,0,0
scikit-learn__scikit-learn-12622,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-13771,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-15093,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-25365,success,success,success_empty_patch,success,0,0,0,0
scikit-learn__scikit-learn-25578,success,success,success_empty_patch,success,0,0,0,0
scikit-learn__scikit-learn-25634,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-25635,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-25637,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-25763,success,success,success,success,0,0,0,0
scikit-learn__scikit-learn-5970,success,success,success,success_empty_patch,0,0,0,0
sphinx-doc__sphinx-8127,success_empty_patch,success_empty_patch,success_empty_patch,success_empty_patch,0,0,0,0
sphinx-doc__sphinx-8588,success,success_empty_patch,success,success,0,0,0,0
sympy__sympy-11275,success,success,success,success,0,0,0,0
sympy__sympy-11286,success_empty_patch,success,success,success,0,0,0,0
sympy__sympy-12426,success,success,success,success,0,0,0,0
sympy__sympy-12427,success,success,success,success,0,0,0,0
sympy__sympy-12950,success,success,success,success,0,0,0,0
sympy__sympy-13039,success,success,success,success,0,0,0,0
sympy__sympy-15059,success_empty_patch,success,success,success,0,0,0,0
