no_memory,raw,adp,memory,count,instance_ids
0,0,0,0,66,astropy__astropy-4973;django__django-11776;django__django-18166;django__django-21204;django__django-21501;django__django-25916;django__django-26486;django__django-27910;django__django-27995;django__django-28862;django__django-28916;django__django-29123;django__django-29124;django__django-29838;django__django-30153;django__django-30651;django__django-31051;django__django-31864;django__django-32260;django__django-34176;django__django-34481;django__django-34525;django__django-35356;matplotlib__matplotlib-18294;matplotlib__matplotlib-23098;matplotlib__matplotlib-23172;matplotlib__matplotlib-23687;matplotlib__matplotlib-24818;mwaskom__seaborn-3203;pallets__flask-4039;psf__requests-2344;psf__requests-3359;psf__requests-3481;pydata__xarray-4529;pydata__xarray-508;pytest-dev__pytest-10341;pytest-dev__pytest-9358;scikit-learn__scikit-learn-13771;scikit-learn__scikit-learn-25578;scikit-learn__scikit-learn-25634;scikit-learn__scikit-learn-25635;scikit-learn__scikit-learn-25637;scikit-learn__scikit-learn-5970;sphinx-doc__sphinx-8127;sphinx-doc__sphinx-8588;sympy__sympy-11275;sympy__sympy-12427;sympy__sympy-12950;sympy__sympy-13039;sympy__sympy-15059;sympy__sympy-16342;sympy__sympy-16946;sympy__sympy-16953;sympy__sympy-17377;sympy__sympy-18212;sympy__sympy-18715;sympy__sympy-19006;sympy__sympy-19558;sympy__sympy-21203;sympy__sympy-21309;sympy__sympy-23852;sympy__sympy-26642;sympy__sympy-27868;sympy__sympy-8772;sympy__sympy-9123;sympy__sympy-9384
0,1,0,0,6,astropy__astropy-15082;django__django-1891;django__django-30931;matplotlib__matplotlib-25352;matplotlib__matplotlib-26331;sympy__sympy-12426
1,1,1,1,5,django__django-32450;matplotlib__matplotlib-10050;matplotlib__matplotlib-22686;matplotlib__matplotlib-22706;scikit-learn__scikit-learn-12622
0,0,0,1,3,django__django-31181;django__django-33871;django__django-34570
0,0,1,1,3,django__django-28211;matplotlib__matplotlib-27361;scikit-learn__scikit-learn-25763
0,0,1,0,2,scikit-learn__scikit-learn-15093;sympy__sympy-19484
0,1,0,1,2,django__django-20098;sympy__sympy-11286
0,1,1,0,2,django__django-30254;pylint-dev__pylint-6471
1,1,0,1,2,scikit-learn__scikit-learn-25365;sympy__sympy-16689
0,1,1,1,1,mwaskom__seaborn-3091
1,0,0,0,1,matplotlib__matplotlib-22482
1,0,1,0,1,sympy__sympy-19235
1,1,1,0,1,django__django-33461
