instance_id,no_memory,raw,adp,memory,pattern_label,solved_by_count,solved_by_conditions
astropy__astropy-15082,0,1,0,0,only_raw;any_prior_not_no_memory;raw_wins_memory_loses;raw_wins_adp_loses,1,raw
astropy__astropy-4973,0,0,0,0,all_failed,0,
django__django-11776,0,0,0,0,all_failed,0,
django__django-18166,0,0,0,0,all_failed,0,
django__django-1891,0,1,0,0,only_raw;any_prior_not_no_memory;raw_wins_memory_loses;raw_wins_adp_loses,1,raw
django__django-20098,0,1,0,1,any_prior_not_no_memory;raw_wins_adp_loses,2,raw;memory
django__django-21204,0,0,0,0,all_failed,0,
django__django-21501,0,0,0,0,all_failed,0,
django__django-25916,0,0,0,0,all_failed,0,
django__django-26486,0,0,0,0,all_failed,0,
django__django-27910,0,0,0,0,all_failed,0,
django__django-27995,0,0,0,0,all_failed,0,
django__django-28211,0,0,1,1,any_prior_not_no_memory;memory_wins_raw_loses;adp_wins_raw_loses,2,adp;memory
django__django-28862,0,0,0,0,all_failed,0,
django__django-28916,0,0,0,0,all_failed,0,
django__django-29123,0,0,0,0,all_failed,0,
django__django-29124,0,0,0,0,all_failed,0,
django__django-29838,0,0,0,0,all_failed,0,
django__django-30153,0,0,0,0,all_failed,0,
django__django-30254,0,1,1,0,any_prior_not_no_memory;raw_wins_memory_loses,2,raw;adp
django__django-30651,0,0,0,0,all_failed,0,
django__django-30931,0,1,0,0,only_raw;any_prior_not_no_memory;raw_wins_memory_loses;raw_wins_adp_loses,1,raw
django__django-31051,0,0,0,0,all_failed,0,
django__django-31181,0,0,0,1,only_memory;any_prior_not_no_memory;memory_wins_raw_loses,1,memory
django__django-31864,0,0,0,0,all_failed,0,
django__django-32260,0,0,0,0,all_failed,0,
django__django-32450,1,1,1,1,all_solved,4,no_memory;raw;adp;memory
django__django-33461,1,1,1,0,raw_wins_memory_loses,3,no_memory;raw;adp
django__django-33871,0,0,0,1,only_memory;any_prior_not_no_memory;memory_wins_raw_loses,1,memory
django__django-34176,0,0,0,0,all_failed,0,
django__django-34481,0,0,0,0,all_failed,0,
django__django-34525,0,0,0,0,all_failed,0,
django__django-34570,0,0,0,1,only_memory;any_prior_not_no_memory;memory_wins_raw_loses,1,memory
django__django-35356,0,0,0,0,all_failed,0,
