instance_id,condition,evidence_mentions_target_gold_file_bool,evidence_mentions_target_gold_dir_bool,evidence_mentions_target_gold_symbol_bool,evidence_mentions_target_failure_signature_bool,evidence_contains_relevant_test_command_bool,evidence_contains_prior_edited_target_gold_file_bool,evidence_contains_prior_inspected_target_gold_file_bool,evidence_overlap_score,target_gold_files,target_gold_dirs,overlapping_symbols,failure_signature_overlap_excerpt
astropy__astropy-15082,raw,1,1,1,0,1,1,1,15.5,astropy/nddata/mixins/ndarithmetic.py|docs/changes/nddata/15082.bugfix.rst,astropy/nddata/mixins|docs/changes/nddata,Description|NDData|NDDataArray|None|NoneType|operand|operation|or,"TypeError: unsupported operand type(s) for || : 'int' and 'NoneType' || # raises: AttributeError: 'NoneType' object has no attribute 'mask' || I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l..."
astropy__astropy-15082,adp,1,1,1,0,1,1,1,15.5,astropy/nddata/mixins/ndarithmetic.py|docs/changes/nddata/15082.bugfix.rst,astropy/nddata/mixins|docs/changes/nddata,Description|NDData|NDDataArray|None|NoneType|operand|operation|or,"TypeError: unsupported operand type(s) for || : 'int' and 'NoneType' || # raises: AttributeError: 'NoneType' object has no attribute 'mask' || I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l..."
astropy__astropy-15082,memory,1,1,1,0,1,1,1,14.7,astropy/nddata/mixins/ndarithmetic.py|docs/changes/nddata/15082.bugfix.rst,astropy/nddata/mixins|docs/changes/nddata,Description|NDArithmeticMixin|NDData|NDDataArray|None|NoneType|operand|operation|or,"TypeError: unsupported operand type(s) for || : 'int' and 'NoneType' || # raises: AttributeError: 'NoneType' object has no attribute 'mask' || I also found that collapsing `NDData` without a `unit` triggers an error in `NDArithmeticMixin._arithmetic_data`, due to a missing condition in the logic for calling the `operation`. Revising only the second-to-last l..."
astropy__astropy-4973,raw,1,1,1,1,0,1,1,16.0,CHANGES.rst|astropy/wcs/wcs.py,astropy/wcs,InconsistentAxisTypesError|Traceback|Transforms|ValueError|__doc__|_array_converter|_denormalize_sky|_normalize_sky|_return_list_of_arrays|_return_single_array|ra_dec_order,"InconsistentAxisTypesError Traceback (most recent call last) || 1271 raise TypeError( || Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error: || InconsistentAxisTypesError Traceback (most recent call last)"
astropy__astropy-4973,adp,1,1,1,1,0,1,1,16.0,CHANGES.rst|astropy/wcs/wcs.py,astropy/wcs,InconsistentAxisTypesError|Traceback|Transforms|ValueError|__doc__|_array_converter|_denormalize_sky|_normalize_sky|_return_list_of_arrays|_return_single_array|ra_dec_order,"InconsistentAxisTypesError Traceback (most recent call last) || 1271 raise TypeError( || Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error: || InconsistentAxisTypesError Traceback (most recent call last)"
astropy__astropy-4973,memory,1,1,1,1,0,1,1,16.0,CHANGES.rst|astropy/wcs/wcs.py,astropy/wcs,InconsistentAxisTypesError|Traceback|Transforms|ValueError|__doc__|_array_converter|_denormalize_sky|_normalize_sky|_return_list_of_arrays|_return_single_array|ra_dec_order,"InconsistentAxisTypesError Traceback (most recent call last) || 1271 raise TypeError( || Currently, passing a (0,2) shaped array to the WCS transformation functions raises an error: || InconsistentAxisTypesError Traceback (most recent call last)"
django__django-11776,raw,1,1,1,0,1,0,1,12.1,AUTHORS|django/forms/forms.py|django/forms/utils.py|docs/topics/forms/index.txt|docs/releases/1.8.txt,docs/releases|docs/topics/forms|django/forms,Description|for,356- raise ValueError( || 1→from django.core.exceptions import ValidationError
django__django-11776,adp,1,1,1,0,1,0,1,12.5,AUTHORS|django/forms/forms.py|django/forms/utils.py|docs/topics/forms/index.txt|docs/releases/1.8.txt,docs/releases|docs/topics/forms|django/forms,Description|for,356- raise ValueError( || 1→from django.core.exceptions import ValidationError
django__django-11776,memory,1,1,1,0,1,0,1,12.3,AUTHORS|django/forms/forms.py|django/forms/utils.py|docs/topics/forms/index.txt|docs/releases/1.8.txt,docs/releases|docs/topics/forms|django/forms,Description|for,- Traceback (most recent call last): || - ERROR: FormsetTests (unittest.loader._FailedTest)
django__django-18166,raw,1,1,1,0,0,1,1,13.6,docs/topics/forms/formsets.txt|django/forms/formsets.py,django/forms|docs/topics/forms,BaseFormSet|Description|__init__|form_kwargs,"When explicitly setting form_kwargs = {'empty_permitted':True} or form_kwargs = {'empty_permitted':False} , a KeyError occurs when rendering a template that uses a formset's empty_form. || 1→from django.core.exceptions import ValidationError"
django__django-18166,adp,1,1,1,0,0,1,1,13.8,docs/topics/forms/formsets.txt|django/forms/formsets.py,django/forms|docs/topics/forms,BaseFormSet|Description|form_kwargs,"When explicitly setting form_kwargs = {'empty_permitted':True} or form_kwargs = {'empty_permitted':False} , a KeyError occurs when rendering a template that uses a formset's empty_form. || 1→from django.core.exceptions import ValidationError"
django__django-18166,memory,1,1,1,0,0,1,1,13.3,docs/topics/forms/formsets.txt|django/forms/formsets.py,django/forms|docs/topics/forms,BaseFormSet|Description|__init__|form_kwargs,"When explicitly setting form_kwargs = {'empty_permitted':True} or form_kwargs = {'empty_permitted':False} , a KeyError occurs when rendering a template that uses a formset's empty_form. || - FAIL Test 1 - TypeError: DeclarativeFieldsMetaclass object got multiple values for keyword argument 'empty_permitted'"
django__django-1891,raw,1,1,1,0,1,1,1,15.0,django/forms/models.py,django/forms,Description|ForeignKey|limit_choices_to,8→from django.core.exceptions import ( || 7→from django.core.exceptions import (
django__django-1891,adp,1,1,1,0,1,1,1,15.4,django/forms/models.py,django/forms,Description|ForeignKey|limit_choices_to,8→from django.core.exceptions import ( || 7→from django.core.exceptions import (
django__django-1891,memory,1,1,1,0,1,1,1,14.8,django/forms/models.py,django/forms,Description|ForeignKey|ModelChoiceField|ModelForm|limit_choices_to,- Traceback (most recent call last): || 8→from django.core.exceptions import (
django__django-20098,raw,1,1,1,0,0,1,1,12.8,django/core/checks/model_checks.py|docs/ref/checks.txt,docs/ref|django/core/checks,Description|Meta|db_table,"SyntaxError: invalid syntax || Traceback (most recent call last): || When declaring two models using a custom db_table setting in the Meta class, I found out that django failed to detect that the two models declared the same db_table and subsequently it will fail on syncdb when trying ..."
django__django-20098,adp,1,1,1,0,0,1,1,12.8,django/core/checks/model_checks.py|docs/ref/checks.txt,docs/ref|django/core/checks,Description|Meta|db_table,"SyntaxError: invalid syntax || Traceback (most recent call last): || When declaring two models using a custom db_table setting in the Meta class, I found out that django failed to detect that the two models declared the same db_table and subsequently it will fail on syncdb when trying ..."
django__django-20098,memory,1,1,1,0,0,1,1,12.7,django/core/checks/model_checks.py|docs/ref/checks.txt,docs/ref|django/core/checks,Description|Meta|db_table,"- Traceback (most recent call last): || - RuntimeError: Settings already configured. || When declaring two models using a custom db_table setting in the Meta class, I found out that django failed to detect that the two models declared the same db_table and subsequently it will fail on syncdb when trying ..."
django__django-21204,raw,1,1,1,0,0,1,1,14.0,django/db/models/sql/compiler.py|django/db/models/query_utils.py|django/db/models/sql/query.py,django/db/models|django/db/models/sql,Description|select_related,"1736- raise TypeError(""Cannot call only() after .values() or .values_list()"") || 1740- raise TypeError(""Cannot pass None as an argument to only()."")"
django__django-21204,adp,1,1,1,0,0,1,1,14.0,django/db/models/sql/compiler.py|django/db/models/query_utils.py|django/db/models/sql/query.py,django/db/models|django/db/models/sql,Description|select_related,"1736- raise TypeError(""Cannot call only() after .values() or .values_list()"") || 1740- raise TypeError(""Cannot pass None as an argument to only()."")"
django__django-21204,memory,1,1,1,0,0,1,1,14.0,django/db/models/sql/compiler.py|django/db/models/query_utils.py|django/db/models/sql/query.py,django/db/models|django/db/models/sql,Description|select_related,"- Traceback (most recent call last): || 1736- raise TypeError(""Cannot call only() after .values() or .values_list()"")"
django__django-21501,raw,1,1,1,0,1,1,1,15.1,docs/topics/forms/formsets.txt|django/forms/formsets.py,django/forms|docs/topics/forms,BaseFormSet|Description|True|empty_form|empty_permitted,"When explicitly setting form_kwargs = {'empty_permitted':True} or form_kwargs = {'empty_permitted':False} , a KeyError occurs when rendering a template that uses a formset's empty_form. || 1→from django.core.exceptions import ValidationError"
django__django-21501,adp,1,1,1,0,1,1,1,15.3,docs/topics/forms/formsets.txt|django/forms/formsets.py,django/forms|docs/topics/forms,BaseFormSet|Description|True|empty_form|empty_permitted,"When explicitly setting form_kwargs = {'empty_permitted':True} or form_kwargs = {'empty_permitted':False} , a KeyError occurs when rendering a template that uses a formset's empty_form. || 1→from django.core.exceptions import ValidationError"
django__django-21501,memory,1,1,1,0,1,1,1,14.8,docs/topics/forms/formsets.txt|django/forms/formsets.py,django/forms|docs/topics/forms,BaseFormSet|Description|True|empty_form|empty_permitted,"When explicitly setting form_kwargs = {'empty_permitted':True} or form_kwargs = {'empty_permitted':False} , a KeyError occurs when rendering a template that uses a formset's empty_form. || - FAIL Test 1 - TypeError: DeclarativeFieldsMetaclass object got multiple values for keyword argument 'empty_permitted'"
django__django-25916,raw,1,1,1,0,0,1,1,12.2,django/contrib/sitemaps/templates/sitemap_index.xml|django/contrib/sitemaps/views.py|docs/releases/4.1.txt|docs/ref/contrib/sitemaps.txt|django/contrib/sitemaps/__init__.py|docs/internals/deprecation.txt,docs/internals|docs/ref/contrib|docs/releases|django/contrib/sitemaps|django/contrib/sitemaps/templates,Description,"Sitemaps without items raise ValueError on callable lastmod. || When sitemap contains not items, but supports returning lastmod for an item, it fails with a ValueError:"
django__django-25916,adp,1,1,1,0,0,1,1,12.4,django/contrib/sitemaps/templates/sitemap_index.xml|django/contrib/sitemaps/views.py|docs/releases/4.1.txt|docs/ref/contrib/sitemaps.txt|django/contrib/sitemaps/__init__.py|docs/internals/deprecation.txt,docs/internals|docs/ref/contrib|docs/releases|django/contrib/sitemaps|django/contrib/sitemaps/templates,Description,"Sitemaps without items raise ValueError on callable lastmod. || When sitemap contains not items, but supports returning lastmod for an item, it fails with a ValueError:"
