instance_id,repo,prior_instance_id,target_instance_id,base_commit,condition_set_complete,resolved_no_memory,resolved_raw,resolved_adp,resolved_memory,eval_status_no_memory,eval_status_raw,eval_status_adp,eval_status_memory,eval_error_no_memory,eval_error_raw,eval_error_adp,eval_error_memory,empty_patch_no_memory,empty_patch_raw,empty_patch_adp,empty_patch_memory,non_empty_patch_no_memory,non_empty_patch_raw,non_empty_patch_adp,non_empty_patch_memory,patch_failed_no_memory,patch_failed_raw,patch_failed_adp,patch_failed_memory,no_patch_eval_no_memory,no_patch_eval_raw,no_patch_eval_adp,no_patch_eval_memory,patch_bytes_no_memory,patch_bytes_raw,patch_bytes_adp,patch_bytes_memory,patch_lines_added_no_memory,patch_lines_added_raw,patch_lines_added_adp,patch_lines_added_memory,patch_lines_deleted_no_memory,patch_lines_deleted_raw,patch_lines_deleted_adp,patch_lines_deleted_memory,patch_files_changed_no_memory,patch_files_changed_raw,patch_files_changed_adp,patch_files_changed_memory,run_exit_code_no_memory,run_exit_code_raw,run_exit_code_adp,run_exit_code_memory,run_status_no_memory,run_status_raw,run_status_adp,run_status_memory,openhands_iterations_no_memory,openhands_iterations_raw,openhands_iterations_adp,openhands_iterations_memory,llm_calls_no_memory,llm_calls_raw,llm_calls_adp,llm_calls_memory,input_tokens_no_memory,input_tokens_raw,input_tokens_adp,input_tokens_memory,output_tokens_no_memory,output_tokens_raw,output_tokens_adp,output_tokens_memory,total_tokens_no_memory,total_tokens_raw,total_tokens_adp,total_tokens_memory,max_turn_tokens_no_memory,max_turn_tokens_raw,max_turn_tokens_adp,max_turn_tokens_memory,wall_seconds_no_memory,wall_seconds_raw,wall_seconds_adp,wall_seconds_memory,prompt_chars_no_memory,prompt_chars_raw,prompt_chars_adp,prompt_chars_memory,prior_context_chars_no_memory,prior_context_chars_raw,prior_context_chars_adp,prior_context_chars_memory,empty_patch_cause_no_memory,empty_patch_cause_raw,empty_patch_cause_adp,empty_patch_cause_memory,notes
astropy__astropy-15082,astropy/astropy,astropy__astropy-14995,astropy__astropy-15082,c5e2521db013d9641999be9c79d1d807741bc39a,True,0,1,0,0,unresolved,resolved,no_patch,no_patch,,,No patch,No patch,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1058,2172,0,0,3,14,0,0,4,11,0,0,2,1,0,0,0,0,0,0,success,success,success_empty_patch,success_empty_patch,75,30,4,21,86,29,4,22,1813400,1157671,97992,603507,15336,10561,372,3505,1828736,1168232,98364,607012,31448,60138,28126,36059,863.575,429.633,981.181,450.402,3950,27043,32367,21055,0,23057,28372,17060,,,normal_no_edit,normal_no_edit,
astropy__astropy-4973,astropy/astropy,astropy__astropy-7746,astropy__astropy-4973,d5bd3f68bb6d5ce3a61bdce9883ee750d1afade5,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1057,2964,1366,1508,6,55,11,16,0,0,0,0,1,2,1,1,0,0,0,0,success,success,success,success,30,38,46,20,31,38,48,21,991300,1645431,1559967,535636,5423,9135,9752,5183,996723,1654566,1569719,540819,50418,64827,48507,43956,502.53,542.533,843.302,299.733,3662,19497,23500,16507,0,15799,19793,12800,,,,,
django__django-11776,django/django,django__django-14608,django__django-11776,9cbf7f25efa6ba3c4419b46fa11977e8b967aa26,True,0,0,0,0,patch_failed,patch_failed,patch_failed,no_patch,Patch failed,Patch failed,Patch failed,No patch,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,3556,12204,11443,0,39,33,33,0,3,17,16,0,3,7,7,0,0,0,0,0,success,success,success,success_empty_patch,4,47,36,29,4,47,37,28,1429833,2815148,6148316,753810,13774,20421,42167,3739,1443607,2835569,6190483,757549,39367,50571,53679,33934,2257.204,1006.436,2085.247,471.589,1973,23836,29743,18631,0,21827,27725,16613,,,,normal_no_edit,
django__django-18166,django/django,django__django-16041,django__django-18166,19e67c6cd13d6442abb2a6eba1b7fba80dcf5457,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,5773,1867,7169,1881,90,13,159,12,2,1,3,1,2,1,2,1,0,0,0,0,success,success,success,success,31,37,27,39,31,35,28,39,789817,1111944,826107,1237666,8390,9322,8718,38256,798207,1121266,834825,1275922,39540,41330,39455,48416,306.142,484.478,784.71,978.248,3101,16582,20881,14709,0,13445,17735,11563,,,,,
django__django-1891,django/django,django__django-13315,django__django-1891,36bc47069ce071e80c8129500de3b8664d2058a7,True,0,1,0,0,unresolved,resolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2169,5553,4846,8646,29,84,76,182,1,5,6,6,2,3,3,4,0,0,0,0,success,success,success,success,116,19,43,79,114,19,41,71,2502539,1033600,1879330,2488525,66015,5988,12886,21282,2568554,1039588,1892216,2509807,65538,44091,59614,44999,2249.346,269.275,536.017,852.713,2401,34524,42890,24446,0,32087,40444,22000,,,,,
django__django-20098,django/django,django__django-11630,django__django-20098,e626a3f993fc0581a3e0770a3930ac1fc20196cb,True,0,1,0,1,unresolved,resolved,no_patch,resolved,,,No patch,,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,7909,5089,0,3865,183,100,0,67,0,0,0,0,2,2,0,2,0,0,0,0,success,success,success_empty_patch,success,93,56,2,33,95,56,2,34,2995160,1987094,40675,868778,70064,16859,289,6092,3065224,2003953,40964,874870,65538,50947,21618,42930,2059.508,820.399,269.669,271.629,1732,25010,31396,20408,0,23242,29619,18631,,,normal_no_edit,,
django__django-21204,django/django,django__django-16910,django__django-21204,5d12650ed9269acb3cba97fd70e8df2e35a55a54,True,0,0,0,0,unresolved,no_patch,unresolved,no_patch,,No patch,,No patch,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,3812,0,4141,0,81,0,129,0,0,0,0,0,1,0,1,0,0,0,0,0,success,success_empty_patch,success,success_empty_patch,38,29,69,8,41,29,75,5,1335596,1011675,2738687,1555401,19813,3441,23570,48981,1355409,1015116,2762257,1604382,54961,45651,43776,65538,904.25,398.962,905.961,1529.098,2609,19070,26071,16675,0,16425,23417,14021,,normal_no_edit,,normal_no_edit,
django__django-21501,django/django,django__django-16041,django__django-21501,19e67c6cd13d6442abb2a6eba1b7fba80dcf5457,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,767,803,767,820,5,7,5,8,0,0,0,0,1,1,1,1,0,0,0,0,success,success,success,success,19,6,24,7,20,6,24,8,328783,510016,672958,626819,3284,4457,5358,4297,332067,514473,678316,631116,23254,32678,36144,30185,138.989,186.918,219.784,192.849,2712,16193,20492,14320,0,13445,17735,11563,,,,,
django__django-25916,django/django,django__django-16255,django__django-25916,2ccc0b22db6730ba0950b10bbc5238ae575e4a45,True,0,0,0,0,unresolved,no_patch,no_patch,patch_failed,,No patch,No patch,Patch failed,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1730,0,0,10542,16,0,0,46,2,0,0,23,1,0,0,5,0,0,0,0,success,success_empty_patch,success_empty_patch,success,18,15,10,0,20,10,10,73,370475,244671,227382,2591324,3477,2085,1240,171226,373952,246756,228622,2762550,27618,32181,33492,65539,139.387,463.06,452.083,4390.011,1465,15496,19962,13207,0,13995,18452,11697,,normal_no_edit,normal_no_edit,,
django__django-26486,django/django,django__django-16910,django__django-26486,c339a5a6f72690cd90d5a653dc108fbb60274a20,True,0,0,0,0,patch_failed,unresolved,unresolved,unresolved,Patch failed,,,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,5767,1599,6216,3864,108,47,147,63,7,0,0,5,3,1,3,2,0,0,0,0,success,success,success,success,40,16,39,13,41,16,38,13,1548688,375091,4505828,2010838,59687,2370,216091,28654,1608375,377461,4721919,2039492,65538,30420,98304,52916,1817.802,525.406,5784.982,1467.03,1622,18083,25084,15688,0,16425,23417,14021,,,,,
